weather_condition,temperature,distance,traffic_condition,time_of_day,chosen_mode,reasoning,serialized_query,serialized_with_label
clear sky,30°C hot,10 km,gridlock,00:00 late night,motorbike,"For 10 km in gridlock late at night, a motorbike is a very practical and flexible option in HCMC.",Weather is clear sky with a temperature of 30°C hot. Route distance is 10 km and traffic is gridlock. Trip starts at 00:00 late night.,Weather is clear sky with a temperature of 30°C hot. Route distance is 10 km and traffic is gridlock. Trip starts at 00:00 late night. Transport mode is motorbike.
heavy rain,24°C warm,8 km,light traffic,07:00 rush hour,car,"Heavy rain excludes bike and motorbike, making a car the only practical option for safety and comfort.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 8 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is car.
overcast,35°C very hot,2 km,heavy traffic,07:00 rush hour,motorbike,"Motorbike is the most practical for a short distance in heavy rush hour traffic, despite the heat.",Weather is overcast with a temperature of 35°C very hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 35°C very hot. Route distance is 2 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
strong wind,24°C warm,2 km,gridlock,09:00 morning,motorbike,Motorbike offers agility in gridlock traffic and is less affected by strong winds than a bike for a short distance.,Weather is strong wind with a temperature of 24°C warm. Route distance is 2 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 24°C warm. Route distance is 2 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is motorbike.
light drizzle,18°C mild,3 km,light traffic,09:00 morning,motorbike,Motorbike is a practical and efficient choice for 3km in light drizzle and light traffic.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 3 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 3 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
heavy rain,24°C warm,2 km,gridlock,21:00 night,car,Car is the only suitable mode for travel during heavy rain.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 2 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 2 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is car.
clear sky,24°C warm,3 km,moderate traffic,00:00 late night,motorbike,Motorbike is a practical and efficient choice for a short distance late at night.,Weather is clear sky with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is clear sky with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
clear sky,38°C extreme heat,0.5 km,light traffic,07:00 rush hour,motorbike,"Motorbike is the most practical and quickest option for a very short distance, even in extreme heat.",Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 0.5 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 0.5 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
heavy rain,18°C mild,30 km,heavy traffic,00:00 late night,car,Car is the only suitable mode for a long distance trip during heavy rain.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 30 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 30 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is car.
heavy rain,18°C mild,8 km,no traffic,09:00 morning,car,Car is the only suitable mode for travel during heavy rain.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 8 km and traffic is no traffic. Trip starts at 09:00 morning.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 8 km and traffic is no traffic. Trip starts at 09:00 morning. Transport mode is car.
strong wind,24°C warm,30 km,light traffic,12:00 midday,motorbike,Motorbike is an efficient and practical choice for a 30km trip in light traffic.,Weather is strong wind with a temperature of 24°C warm. Route distance is 30 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is strong wind with a temperature of 24°C warm. Route distance is 30 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
light drizzle,30°C hot,20 km,light traffic,09:00 morning,motorbike,Motorbike is a practical and efficient choice for 20km in light drizzle and light traffic.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 20 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 20 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
strong wind,24°C warm,10 km,heavy traffic,07:00 rush hour,motorbike,Motorbike is the most agile and efficient option for 10km in heavy rush hour traffic.,Weather is strong wind with a temperature of 24°C warm. Route distance is 10 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 24°C warm. Route distance is 10 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
light rain,12°C cold,5 km,heavy traffic,12:00 midday,motorbike,Motorbike is practical for 5km in heavy traffic and light rain.,Weather is light rain with a temperature of 12°C cold. Route distance is 5 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 12°C cold. Route distance is 5 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,24°C warm,10 km,light traffic,12:00 midday,motorbike,Motorbike is a practical and efficient choice for 10km in light traffic.,Weather is overcast with a temperature of 24°C warm. Route distance is 10 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is overcast with a temperature of 24°C warm. Route distance is 10 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
clear sky,12°C cold,1 km,gridlock,21:00 night,bike,Bike is the most agile option for a very short distance in gridlock traffic.,Weather is clear sky with a temperature of 12°C cold. Route distance is 1 km and traffic is gridlock. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 12°C cold. Route distance is 1 km and traffic is gridlock. Trip starts at 21:00 night. Transport mode is bike.
heavy rain,12°C cold,0.5 km,light traffic,00:00 late night,car,Car is the only suitable mode for travel during heavy rain.,Weather is heavy rain with a temperature of 12°C cold. Route distance is 0.5 km and traffic is light traffic. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 12°C cold. Route distance is 0.5 km and traffic is light traffic. Trip starts at 00:00 late night. Transport mode is car.
light drizzle,18°C mild,10 km,heavy traffic,09:00 morning,motorbike,Motorbike is the most agile and efficient option for 10km in heavy traffic with light drizzle.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 10 km and traffic is heavy traffic. Trip starts at 09:00 morning.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 10 km and traffic is heavy traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
clear sky,35°C very hot,20 km,light traffic,18:00 evening rush,motorbike,"Motorbike is a practical choice for 20km, even in very hot weather, and avoids car deprioritization during rush hour.",Weather is clear sky with a temperature of 35°C very hot. Route distance is 20 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is clear sky with a temperature of 35°C very hot. Route distance is 20 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
heavy rain,18°C mild,2 km,light traffic,00:00 late night,car,Car is the only suitable mode for travel during heavy rain.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 2 km and traffic is light traffic. Trip starts at 00:00 late night.,Weather is heavy rain with a temperature of 18°C mild. Route distance is 2 km and traffic is light traffic. Trip starts at 00:00 late night. Transport mode is car.
storm,24°C warm,1 km,no traffic,07:00 rush hour,car,Car is the only suitable mode for travel during a storm.,Weather is storm with a temperature of 24°C warm. Route distance is 1 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 1 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is car.
overcast,18°C mild,20 km,moderate traffic,21:00 night,motorbike,Motorbike is a practical and efficient choice for 20km in moderate traffic at night.,Weather is overcast with a temperature of 18°C mild. Route distance is 20 km and traffic is moderate traffic. Trip starts at 21:00 night.,Weather is overcast with a temperature of 18°C mild. Route distance is 20 km and traffic is moderate traffic. Trip starts at 21:00 night. Transport mode is motorbike.
strong wind,12°C cold,15 km,moderate traffic,09:00 morning,motorbike,Motorbike is suitable for 15km in strong wind and moderate traffic.,Weather is strong wind with a temperature of 12°C cold. Route distance is 15 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 12°C cold. Route distance is 15 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
storm,18°C mild,15 km,no traffic,18:00 evening rush,car,"Car is best for travel during a storm, as motorbikes are excluded.",Weather is storm with a temperature of 18°C mild. Route distance is 15 km and traffic is no traffic. Trip starts at 18:00 evening rush.,Weather is storm with a temperature of 18°C mild. Route distance is 15 km and traffic is no traffic. Trip starts at 18:00 evening rush. Transport mode is car.
light drizzle,30°C hot,20 km,heavy traffic,12:00 midday,motorbike,Motorbike is practical for 20km in light drizzle and can navigate heavy traffic efficiently.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 20 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 20 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
heavy rain,30°C hot,10 km,no traffic,21:00 night,car,"Car is best for travel during heavy rain, as motorbikes are excluded.",Weather is heavy rain with a temperature of 30°C hot. Route distance is 10 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is heavy rain with a temperature of 30°C hot. Route distance is 10 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is car.
light rain,35°C very hot,1 km,gridlock,12:00 midday,motorbike,"Motorbike is practical for 1km in gridlock with light rain, as bikes are excluded by rain.",Weather is light rain with a temperature of 35°C very hot. Route distance is 1 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 35°C very hot. Route distance is 1 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is motorbike.
light drizzle,30°C hot,8 km,light traffic,21:00 night,motorbike,Motorbike is suitable for 8km in light drizzle and light traffic.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 8 km and traffic is light traffic. Trip starts at 21:00 night.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 8 km and traffic is light traffic. Trip starts at 21:00 night. Transport mode is motorbike.
light drizzle,12°C cold,15 km,gridlock,12:00 midday,motorbike,Motorbike is practical for 15km in gridlock with light drizzle.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 15 km and traffic is gridlock. Trip starts at 12:00 midday.,Weather is light drizzle with a temperature of 12°C cold. Route distance is 15 km and traffic is gridlock. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,24°C warm,15 km,moderate traffic,07:00 rush hour,motorbike,"Motorbike is practical for 15km during rush hour, as cars are deprioritized.",Weather is overcast with a temperature of 24°C warm. Route distance is 15 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is overcast with a temperature of 24°C warm. Route distance is 15 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
storm,12°C cold,10 km,moderate traffic,15:00 afternoon,car,"Car is best for travel during a storm, as motorbikes are excluded.",Weather is storm with a temperature of 12°C cold. Route distance is 10 km and traffic is moderate traffic. Trip starts at 15:00 afternoon.,Weather is storm with a temperature of 12°C cold. Route distance is 10 km and traffic is moderate traffic. Trip starts at 15:00 afternoon. Transport mode is car.
light rain,12°C cold,3 km,gridlock,07:00 rush hour,motorbike,"Motorbike is practical for 3km in gridlock with light rain during rush hour, as bikes are excluded by rain.",Weather is light rain with a temperature of 12°C cold. Route distance is 3 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is light rain with a temperature of 12°C cold. Route distance is 3 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is motorbike.
light rain,18°C mild,30 km,gridlock,15:00 afternoon,motorbike,"Motorbike is suitable for 30km in gridlock with light rain, offering better maneuverability than a car.",Weather is light rain with a temperature of 18°C mild. Route distance is 30 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is light rain with a temperature of 18°C mild. Route distance is 30 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light rain,18°C mild,3 km,no traffic,00:00 late night,motorbike,"Motorbike is practical for 3km at late night with light rain and no traffic, as bikes are excluded by rain.",Weather is light rain with a temperature of 18°C mild. Route distance is 3 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is light rain with a temperature of 18°C mild. Route distance is 3 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
heavy rain,24°C warm,2 km,heavy traffic,12:00 midday,car,"Car is best for travel during heavy rain, as motorbikes are excluded.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 2 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 2 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is car.
storm,38°C extreme heat,15 km,gridlock,15:00 afternoon,car,"Car is best for travel during a storm and extreme heat, as other modes are excluded.",Weather is storm with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon.,Weather is storm with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is gridlock. Trip starts at 15:00 afternoon. Transport mode is car.
clear sky,18°C mild,1 km,heavy traffic,21:00 night,bike,"Bike is practical for 1km in heavy traffic with clear sky, fitting the distance and weather criteria.",Weather is clear sky with a temperature of 18°C mild. Route distance is 1 km and traffic is heavy traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 18°C mild. Route distance is 1 km and traffic is heavy traffic. Trip starts at 21:00 night. Transport mode is bike.
light rain,24°C warm,3 km,moderate traffic,09:00 morning,motorbike,"Motorbike is practical for 3km in light rain, as bikes are excluded by rain.",Weather is light rain with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is light rain with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
heavy rain,35°C very hot,30 km,gridlock,09:00 morning,car,"Car is best for travel during heavy rain, as motorbikes are excluded.",Weather is heavy rain with a temperature of 35°C very hot. Route distance is 30 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is heavy rain with a temperature of 35°C very hot. Route distance is 30 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is car.
strong wind,24°C warm,3 km,moderate traffic,00:00 late night,bike,"Bike is practical for 3km in strong wind at late night, fitting the distance and weather criteria.",Weather is strong wind with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 00:00 late night.,Weather is strong wind with a temperature of 24°C warm. Route distance is 3 km and traffic is moderate traffic. Trip starts at 00:00 late night. Transport mode is bike.
overcast,24°C warm,10 km,heavy traffic,09:00 morning,motorbike,"Motorbike is practical for 10km in heavy traffic during morning rush hour, as cars are deprioritized.",Weather is overcast with a temperature of 24°C warm. Route distance is 10 km and traffic is heavy traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 24°C warm. Route distance is 10 km and traffic is heavy traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
light rain,18°C mild,30 km,no traffic,15:00 afternoon,motorbike,Motorbike is suitable for 30km in light rain with no traffic.,Weather is light rain with a temperature of 18°C mild. Route distance is 30 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is light rain with a temperature of 18°C mild. Route distance is 30 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
light drizzle,38°C extreme heat,30 km,no traffic,00:00 late night,car,Car provides comfort and shelter from extreme heat and light drizzle for a 30km late-night trip.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is no traffic. Trip starts at 00:00 late night.,Weather is light drizzle with a temperature of 38°C extreme heat. Route distance is 30 km and traffic is no traffic. Trip starts at 00:00 late night. Transport mode is car.
fog,24°C warm,20 km,heavy traffic,12:00 midday,motorbike,"Motorbike is efficient for navigating 20km in heavy traffic, and fog is not an exclusion.",Weather is fog with a temperature of 24°C warm. Route distance is 20 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 24°C warm. Route distance is 20 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
strong wind,38°C extreme heat,2 km,heavy traffic,00:00 late night,car,Car offers comfort and protection from extreme heat and strong wind for a short 2km trip.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is heavy traffic. Trip starts at 00:00 late night.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 2 km and traffic is heavy traffic. Trip starts at 00:00 late night. Transport mode is car.
strong wind,30°C hot,15 km,no traffic,15:00 afternoon,motorbike,"Motorbike is efficient for 15km with no traffic, and strong wind is manageable.",Weather is strong wind with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is strong wind with a temperature of 30°C hot. Route distance is 15 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
heavy rain,38°C extreme heat,15 km,heavy traffic,12:00 midday,car,"Car is the only practical option due to heavy rain and extreme heat, despite heavy traffic.",Weather is heavy rain with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is heavy traffic. Trip starts at 12:00 midday.,Weather is heavy rain with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is heavy traffic. Trip starts at 12:00 midday. Transport mode is car.
overcast,30°C hot,15 km,moderate traffic,12:00 midday,motorbike,Motorbike is the most practical for 15km in moderate traffic with good weather.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is overcast with a temperature of 30°C hot. Route distance is 15 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
fog,24°C warm,1 km,light traffic,15:00 afternoon,bike,Bike is ideal for a short 1km distance in mild weather conditions.,Weather is fog with a temperature of 24°C warm. Route distance is 1 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is fog with a temperature of 24°C warm. Route distance is 1 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is bike.
light rain,18°C mild,1 km,no traffic,12:00 midday,motorbike,"Motorbike is quick and convenient for 1km, avoiding light rain.",Weather is light rain with a temperature of 18°C mild. Route distance is 1 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is light rain with a temperature of 18°C mild. Route distance is 1 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
strong wind,12°C cold,20 km,heavy traffic,07:00 rush hour,motorbike,"Motorbike is efficient for 20km in heavy rush hour traffic, despite strong wind and cold.",Weather is strong wind with a temperature of 12°C cold. Route distance is 20 km and traffic is heavy traffic. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 12°C cold. Route distance is 20 km and traffic is heavy traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
fog,12°C cold,2 km,light traffic,12:00 midday,bike,Bike is ideal for a short 2km distance in mild weather conditions.,Weather is fog with a temperature of 12°C cold. Route distance is 2 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 12°C cold. Route distance is 2 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is bike.
fog,12°C cold,3 km,gridlock,07:00 rush hour,bike,Bike is the most agile and practical for navigating 3km through gridlock during rush hour.,Weather is fog with a temperature of 12°C cold. Route distance is 3 km and traffic is gridlock. Trip starts at 07:00 rush hour.,Weather is fog with a temperature of 12°C cold. Route distance is 3 km and traffic is gridlock. Trip starts at 07:00 rush hour. Transport mode is bike.
light drizzle,18°C mild,15 km,moderate traffic,07:00 rush hour,motorbike,"Motorbike is efficient for 15km in moderate rush hour traffic, even with light drizzle.",Weather is light drizzle with a temperature of 18°C mild. Route distance is 15 km and traffic is moderate traffic. Trip starts at 07:00 rush hour.,Weather is light drizzle with a temperature of 18°C mild. Route distance is 15 km and traffic is moderate traffic. Trip starts at 07:00 rush hour. Transport mode is motorbike.
light rain,24°C warm,1 km,no traffic,15:00 afternoon,motorbike,"Motorbike is the most practical for 1km in light rain, offering quick travel.",Weather is light rain with a temperature of 24°C warm. Route distance is 1 km and traffic is no traffic. Trip starts at 15:00 afternoon.,Weather is light rain with a temperature of 24°C warm. Route distance is 1 km and traffic is no traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
fog,12°C cold,0.5 km,no traffic,07:00 rush hour,bike,"Bike is ideal for a very short 0.5km distance, even during rush hour.",Weather is fog with a temperature of 12°C cold. Route distance is 0.5 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is fog with a temperature of 12°C cold. Route distance is 0.5 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is bike.
fog,12°C cold,8 km,light traffic,15:00 afternoon,motorbike,Motorbike is efficient for 8km with light traffic in mild conditions.,Weather is fog with a temperature of 12°C cold. Route distance is 8 km and traffic is light traffic. Trip starts at 15:00 afternoon.,Weather is fog with a temperature of 12°C cold. Route distance is 8 km and traffic is light traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
clear sky,12°C cold,20 km,light traffic,12:00 midday,motorbike,Motorbike is efficient and practical for 20km in clear weather with light traffic.,Weather is clear sky with a temperature of 12°C cold. Route distance is 20 km and traffic is light traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 12°C cold. Route distance is 20 km and traffic is light traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
heavy rain,24°C warm,3 km,gridlock,09:00 morning,car,"Car is the only practical choice due to heavy rain, despite gridlock.",Weather is heavy rain with a temperature of 24°C warm. Route distance is 3 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is heavy rain with a temperature of 24°C warm. Route distance is 3 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is car.
strong wind,35°C very hot,10 km,light traffic,18:00 evening rush,motorbike,"Motorbike is efficient for 10km in light rush hour traffic, despite strong wind and heat.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 10 km and traffic is light traffic. Trip starts at 18:00 evening rush.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 10 km and traffic is light traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
overcast,12°C cold,8 km,moderate traffic,18:00 evening rush,motorbike,Motorbike is the most practical for 8km in moderate rush hour traffic with good weather.,Weather is overcast with a temperature of 12°C cold. Route distance is 8 km and traffic is moderate traffic. Trip starts at 18:00 evening rush.,Weather is overcast with a temperature of 12°C cold. Route distance is 8 km and traffic is moderate traffic. Trip starts at 18:00 evening rush. Transport mode is motorbike.
clear sky,18°C mild,3 km,light traffic,09:00 morning,bike,"Bike is ideal for a short 3km distance in clear, mild weather.",Weather is clear sky with a temperature of 18°C mild. Route distance is 3 km and traffic is light traffic. Trip starts at 09:00 morning.,Weather is clear sky with a temperature of 18°C mild. Route distance is 3 km and traffic is light traffic. Trip starts at 09:00 morning. Transport mode is bike.
storm,24°C warm,10 km,light traffic,07:00 rush hour,car,"Car is the best option for travel during a storm, despite rush hour.",Weather is storm with a temperature of 24°C warm. Route distance is 10 km and traffic is light traffic. Trip starts at 07:00 rush hour.,Weather is storm with a temperature of 24°C warm. Route distance is 10 km and traffic is light traffic. Trip starts at 07:00 rush hour. Transport mode is car.
strong wind,18°C mild,0.5 km,no traffic,21:00 night,bike,Bike is ideal for a very short distance of 0.5 km in mild weather.,Weather is strong wind with a temperature of 18°C mild. Route distance is 0.5 km and traffic is no traffic. Trip starts at 21:00 night.,Weather is strong wind with a temperature of 18°C mild. Route distance is 0.5 km and traffic is no traffic. Trip starts at 21:00 night. Transport mode is bike.
light drizzle,30°C hot,1 km,heavy traffic,15:00 afternoon,motorbike,Motorbike is flexible for 1 km in heavy traffic and suitable for light drizzle.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 1 km and traffic is heavy traffic. Trip starts at 15:00 afternoon.,Weather is light drizzle with a temperature of 30°C hot. Route distance is 1 km and traffic is heavy traffic. Trip starts at 15:00 afternoon. Transport mode is motorbike.
clear sky,18°C mild,30 km,no traffic,12:00 midday,motorbike,"Motorbike is efficient for 30 km in clear, mild weather with no traffic.",Weather is clear sky with a temperature of 18°C mild. Route distance is 30 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is clear sky with a temperature of 18°C mild. Route distance is 30 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
overcast,18°C mild,2 km,moderate traffic,09:00 morning,bike,"Bike is practical for a short 2 km trip in mild, overcast weather.",Weather is overcast with a temperature of 18°C mild. Route distance is 2 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is overcast with a temperature of 18°C mild. Route distance is 2 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is bike.
strong wind,35°C very hot,1 km,no traffic,07:00 rush hour,bike,"Bike is suitable for a very short 1 km trip, as 35°C is not extreme heat for biking.",Weather is strong wind with a temperature of 35°C very hot. Route distance is 1 km and traffic is no traffic. Trip starts at 07:00 rush hour.,Weather is strong wind with a temperature of 35°C very hot. Route distance is 1 km and traffic is no traffic. Trip starts at 07:00 rush hour. Transport mode is bike.
strong wind,38°C extreme heat,15 km,moderate traffic,09:00 morning,motorbike,"Motorbike is suitable for 15 km in strong wind and extreme heat, as transit is not recommended.",Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is moderate traffic. Trip starts at 09:00 morning.,Weather is strong wind with a temperature of 38°C extreme heat. Route distance is 15 km and traffic is moderate traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
clear sky,38°C extreme heat,10 km,gridlock,09:00 morning,motorbike,"Motorbike is best for navigating gridlock over 10 km, and extreme heat does not exclude it.",Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is gridlock. Trip starts at 09:00 morning.,Weather is clear sky with a temperature of 38°C extreme heat. Route distance is 10 km and traffic is gridlock. Trip starts at 09:00 morning. Transport mode is motorbike.
fog,12°C cold,15 km,no traffic,12:00 midday,motorbike,"Motorbike is efficient for 15 km with no traffic, and fog is not an exclusion.",Weather is fog with a temperature of 12°C cold. Route distance is 15 km and traffic is no traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 12°C cold. Route distance is 15 km and traffic is no traffic. Trip starts at 12:00 midday. Transport mode is motorbike.
fog,30°C hot,1 km,moderate traffic,12:00 midday,bike,"Bike is practical for a very short 1 km trip in moderate traffic, as fog is not an exclusion.",Weather is fog with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 12:00 midday.,Weather is fog with a temperature of 30°C hot. Route distance is 1 km and traffic is moderate traffic. Trip starts at 12:00 midday. Transport mode is bike.
clear sky,18°C mild,15 km,light traffic,21:00 night,motorbike,Motorbike is ideal for 15 km at night with clear skies and light traffic.,Weather is clear sky with a temperature of 18°C mild. Route distance is 15 km and traffic is light traffic. Trip starts at 21:00 night.,Weather is clear sky with a temperature of 18°C mild. Route distance is 15 km and traffic is light traffic. Trip starts at 21:00 night. Transport mode is motorbike.
clear sky,30°C hot,8 km,heavy traffic,09:00 morning,motorbike,"Motorbike is best for navigating 8 km in heavy traffic during hot, clear weather.",Weather is clear sky with a temperature of 30°C hot. Route distance is 8 km and traffic is heavy traffic. Trip starts at 09:00 morning.,Weather is clear sky with a temperature of 30°C hot. Route distance is 8 km and traffic is heavy traffic. Trip starts at 09:00 morning. Transport mode is motorbike.
fog,12°C cold,10 km,light traffic,00:00 late night,motorbike,"Motorbike is efficient for 10 km late at night with light traffic, as transit availability is low.",Weather is fog with a temperature of 12°C cold. Route distance is 10 km and traffic is light traffic. Trip starts at 00:00 late night.,Weather is fog with a temperature of 12°C cold. Route distance is 10 km and traffic is light traffic. Trip starts at 00:00 late night. Transport mode is motorbike.
